value,segments,language,borrowing_score,age_label
kita,"['k', 'i', 't', 'a']",Indonesian,0.0,Prehistorical
kami,"['k', 'a', 'm', 'i']",Indonesian,0.0,Prehistorical
kalian,"['k', 'a', 'l', 'i', 'a', 'n']",Indonesian,1.0,Modern
meréka,"['m', 'e', 'r', 'é/e', 'k', 'a']",Indonesian,1.0,Early Malay
binatang,"['b', 'i', 'n', 'a', 't', 'a', 'ŋ']",Indonesian,0.75,Early Malay
héwan,"['h', 'é/e', 'w', 'a', 'n']",Indonesian,1.0,Early Malay
jantan,"['dʒ', 'a', 'n', 't', 'a', 'n']",Indonesian,0.0,Prehistorical
betina,"['b', 'e', 't', 'i', 'n', 'a']",Indonesian,0.0,Prehistorical
ternak,"['t', 'e', 'r', 'n', 'a', 'ʔ']",Indonesian,0.0,Early Malay
gembala,"['g', 'e', 'm', 'b', 'a', 'l', 'a']",Indonesian,0.75,Early Malay
kandang,"['k', 'a', 'n', 'd', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
sapi,"['s', 'a', 'p', 'i']",Indonesian,1.0,Modern
lembu,"['l', 'e', 'm', 'b', 'u']",Indonesian,0.0,Prehistorical
domba,"['d', 'o', 'm', 'b', 'a']",Indonesian,1.0,Early Malay
biri-biri,"['b', 'i', 'r', 'i', '+', 'b', 'i', 'r', 'i']",Indonesian,0.5,Early Malay
babi hutan,"['b', 'a', 'b', 'i', '+', 'h', 'u', 't', 'a', 'n']",Indonesian,0.0,Prehistorical
céléng,"['tʃ', 'é/e', 'l', 'é/e', 'ŋ']",Indonesian,1.0,Modern
babi,"['b', 'a', 'b', 'i']",Indonesian,0.0,Prehistorical
kambing,"['k', 'a', 'm', 'b', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
kuda,"['k', 'u', 'd', 'a']",Indonesian,1.0,Early Malay
keledai,"['k', 'e', 'l', 'e', 'd', 'aɪ']",Indonesian,1.0,Early Malay
bagal,"['b', 'a', 'g', 'a', 'l']",Indonesian,1.0,Early Malay
unggas,"['u', 'ŋ', 'g', 'a', 's']",Indonesian,0.25,Early Malay
(ayam) jago,"['a', 'j', 'a', 'm', '+', 'dʒ', 'a', 'g', 'o']",Indonesian,1.0,Modern
ayam,"['a', 'j', 'a', 'm']",Indonesian,0.0,Prehistorical
angsa,"['a', 'ŋ', 's', 'a']",Indonesian,1.0,Early Malay
bébék,"['b', 'é/e', 'b', 'é/e', 'ʔ']",Indonesian,1.0,Modern
itik,"['i', 't', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
sarang,"['s', 'a', 'r', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
burung,"['b', 'u', 'r', 'u', 'ŋ']",Indonesian,0.0,Prehistorical
camar (laut),"['tʃ', 'a', 'm', 'a', 'r', '+', 'l', 'a', 'u', 't']",Indonesian,0.0,Prehistorical
bangau,"['b', 'a', 'ŋ', 'aʊ']",Indonesian,0.0,Prehistorical
rajawali,"['r', 'a', 'dʒ', 'a', 'w', 'a', 'l', 'i']",Indonesian,1.0,Early Malay
elang,"['e', 'l', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
hering,"['h', 'e', 'r', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
kelelawar,"['k', 'e', 'l', 'e', 'l', 'a', 'w', 'a', 'r']",Indonesian,0.25,Prehistorical
kalong,"['k', 'a', 'l', 'o', 'ŋ']",Indonesian,1.0,Modern
(burung) nuri,"['b', 'u', 'r', 'u', 'ŋ', '+', 'n', 'u', 'r', 'i']",Indonesian,0.75,Early Malay
(burung) bétét,"['b', 'u', 'r', 'u', 'ŋ', '+', 'b', 'é/e', 't', 'é/e', 't']",Indonesian,1.0,Modern
(burung) gagak,"['b', 'u', 'r', 'u', 'ŋ', '+', 'g', 'a', 'g', 'a', 'ʔ']",Indonesian,0.0,Prehistorical
(burung) merpati,"['b', 'u', 'r', 'u', 'ŋ', '+', 'm', 'e', 'r', 'p', 'a', 't', 'i']",Indonesian,1.0,Early Malay
burung hantu,"['b', 'u', 'r', 'u', 'ŋ', '+', 'h', 'a', 'n', 't', 'u']",Indonesian,0.0,Prehistorical
anjing,"['a', 'ɲ', 'i', 'ŋ']",Indonesian,0.5,Early Malay
kelinci,"['k', 'e', 'l', 'i', 'ɲ', 'i']",Indonesian,1.0,Modern
terwélu,"['t', 'e', 'r', 'w', 'é/e', 'l', 'u']",Indonesian,1.0,Modern
arnab,"['a', 'r', 'n', 'a', 'b']",Indonesian,1.0,Early Malay
kucing,"['k', 'u', 'tʃ', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
oposum,"['o', 'p', 'o', 's', 'u', 'm']",Indonesian,1.0,Modern
tikus,"['t', 'i', 'k', 'u', 's']",Indonesian,0.0,Prehistorical
ikan,"['i', 'k', 'a', 'n']",Indonesian,0.0,Prehistorical
sirip,"['s', 'i', 'r', 'i', 'p']",Indonesian,0.0,Prehistorical
sisik,"['s', 'i', 's', 'i', 'ʔ']",Indonesian,0.0,Prehistorical
insang,"['i', 'n', 's', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
kerang,"['k', 'e', 'r', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
(ikan) hiu,"['i', 'k', 'a', 'n', '+', 'h', 'i', 'u']",Indonesian,0.0,Prehistorical
(ikan) paus,"['i', 'k', 'a', 'n', '+', 'p', 'a', 'u', 's']",Indonesian,0.0,Prehistorical
(ikan) pari,"['i', 'k', 'a', 'n', '+', 'p', 'a', 'r', 'i']",Indonesian,0.0,Prehistorical
belut,"['b', 'e', 'l', 'u', 't']",Indonesian,0.0,Prehistorical
lindung,"['l', 'i', 'n', 'd', 'u', 'ŋ']",Indonesian,1.0,Modern
serigala,"['s', 'e', 'r', 'i', 'g', 'a', 'l', 'a']",Indonesian,1.0,Early Malay
singa,"['s', 'i', 'ŋ', 'a']",Indonesian,1.0,Early Malay
beruang,"['b', 'e', 'r', 'u', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
rubah,"['r', 'u', 'b', 'a', 'h']",Indonesian,1.0,Early Malay
rusa,"['r', 'u', 's', 'a']",Indonesian,0.0,Prehistorical
kijang,"['k', 'i', 'dʒ', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
monyét,"['m', 'o', 'ɲ', 'é/e', 't']",Indonesian,1.0,Modern
gajah,"['g', 'a', 'dʒ', 'a', 'h']",Indonesian,1.0,Early Malay
"unta, onta","['u', 'n', 't', 'a']",Indonesian,1.0,Early Malay
serangga,"['s', 'e', 'r', 'a', 'ŋ', 'g', 'a']",Indonesian,0.5,Early Malay
tuma,"['t', 'u', 'm', 'a']",Indonesian,0.0,Prehistorical
caplak,"['tʃ', 'a', 'p', 'l', 'a', 'ʔ']",Indonesian,1.0,Modern
lipan,"['l', 'i', 'p', 'a', 'n']",Indonesian,0.0,Prehistorical
kalajengking,"['k', 'a', 'l', 'a', 'dʒ', 'e', 'ŋ', 'k', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
kecoa,"['k', 'e', 'tʃ', 'o', 'a']",Indonesian,1.0,Modern
semut,"['s', 'e', 'm', 'u', 't']",Indonesian,1.0,Early Malay
laba-laba,"['l', 'a', 'b', 'a', '+', 'l', 'a', 'b', 'a']",Indonesian,0.5,Early Malay
lebah,"['l', 'e', 'b', 'a', 'h']",Indonesian,0.0,Prehistorical
tawon,"['t', 'a', 'w', 'o', 'n']",Indonesian,1.0,Modern
lilin,"['l', 'i', 'l', 'i', 'n']",Indonesian,0.0,Prehistorical
tawon,"['t', 'a', 'w', 'o', 'n']",Indonesian,1.0,Modern
penyengat,"['p', 'e', 'ɲ', 'e', 'ŋ', 'a', 't']",Indonesian,0.0,Prehistorical
tabuhan,"['t', 'a', 'b', 'u', 'h', 'a', 'n']",Indonesian,0.25,Modern
lalat,"['l', 'a', 'l', 'a', 't']",Indonesian,0.0,Prehistorical
agas,"['a', 'g', 'a', 's']",Indonesian,0.0,Prehistorical
nyamuk,"['ɲ', 'a', 'm', 'u', 'ʔ']",Indonesian,0.0,Prehistorical
cacing,"['tʃ', 'a', 'tʃ', 'i', 'ŋ']",Indonesian,0.0,Prehistorical
ular,"['u', 'l', 'a', 'r']",Indonesian,0.0,Prehistorical
kunang-kunang,"['k', 'u', 'n', 'a', 'ŋ', '+', 'k', 'u', 'n', 'a', 'ŋ']",Indonesian,0.0,Prehistorical
